Party Name,Global / Local Entity,Global / Parent Account,Party ID,Subsidiary Name,Relationship Type,Region,Account Manager
Williams and Sons,Local,Wright-Randolph Holdings,CUST-10956,Henry and Sons EMEA,Parent,Middle East,Rebecca Moore
Chavez-Hernandez,Global,Price Holdings,CUST-10449,Moore Inc EMEA,Joint Venture,Europe,Aaron Chapman
Webb Group,Global,Taylor Holdings,CUST-10909,"Ryan, Pierce and Miller APAC",Subsidiary,Europe,Stephen Barker
"Clark, Lozano and Jimenez",Local,Soto Holdings,CUST-10076,"Aguilar, Lopez and Esparza India",Parent,Middle East,Angela Frederick
"Smith, Adams and Lee",Global,Pennington Holdings,CUST-10121,"Gonzalez, Hopkins and Rodriguez EMEA",Parent,APAC,Eric Simmons
Baker-Johnson,Global,Foster-Blair Holdings,CUST-10714,Arnold Group EMEA,Joint Venture,North America,Gary Collins
Scott LLC,Global,West-Day Holdings,CUST-10714,Hanson-Boyle EMEA,Parent,North America,Susan Jenkins
"Jefferson, Riggs and Morrow",Global,Watson-Small Holdings,CUST-10569,King-Donovan APAC,Parent,APAC,Craig Murillo
"Torres, Walls and Orozco",Local,"Wright, Holdings",CUST-10618,Foster Inc UK,Joint Venture,North America,Ronald Hutchinson
Silva and Sons,Global,Kennedy-Campbell Holdings,CUST-10126,"Jackson, Booth and Peterson EU",Division,North America,Melissa Haley
Fisher LLC,Local,"Fernandez, Holdings",CUST-10934,"Campbell, Zimmerman and Allen APAC",Joint Venture,North America,Cheryl Miller
Smith Group,Global,"Pruitt, Holdings",CUST-10112,"Rodriguez, Cook and Hall US",Parent,North America,Gina Odonnell
"Rivera, Mclaughlin and Wilson",Local,Bennett-Vasquez Holdings,CUST-10691,Wells-Guzman India,Joint Venture,North America,Shane Bell
Garcia-Anderson,Local,Griffith Holdings,CUST-10877,Marquez-Rodriguez India,Joint Venture,Middle East,Sara Arroyo
Rodriguez Group,Local,Robinson-Medina Holdings,CUST-10591,Hicks-Bowen India,Joint Venture,LATAM,Ebony Reynolds
"Johns, Moore and Williams",Global,Williams-Cisneros Holdings,CUST-10343,Johnson Inc UK,Joint Venture,APAC,Steven Whitney
"Pruitt, Jones and Michael",Global,Williams Holdings,CUST-10930,"Davis, Brennan and Wallace EMEA",Joint Venture,APAC,Jennifer Reyes
"Pena, Carter and Moore",Global,Ibarra Holdings,CUST-10075,Hunter-Fox EMEA,Subsidiary,APAC,Robert Wolf
"Cain, Davis and Pratt",Global,Johnson-Chang Holdings,CUST-10820,Williams Ltd India,Parent,Middle East,Brandon Tucker
Harris-Brown,Local,"Garcia, Holdings",CUST-10223,Shaw-Rowe UK,Division,North America,Michelle Sherman
Suarez LLC,Global,Myers-Smith Holdings,CUST-10460,Martin-Yang UK,Joint Venture,Europe,Matthew Tucker
Cortez-Greene,Local,Anderson Holdings,CUST-10707,Thornton-Hall US,Division,APAC,Heidi Wright
Jordan-Hamilton,Global,Beasley-Collins Holdings,CUST-10097,Reed-Willis EMEA,Joint Venture,APAC,Alexis Willis
Maynard-Johnson,Global,Scott-Meadows Holdings,CUST-10856,Reid Inc US,Parent,APAC,Randall Schultz
Bryant-Wang,Global,"Richardson, Holdings",CUST-10465,"Hunt, Miller and Avila EU",Parent,North America,Christopher Bird
"Morrison, Brown and Wilson",Local,"Mora, Holdings",CUST-10707,"Ford, Schmidt and Baker US",Parent,North America,Joshua Martin
Tyler-Brown,Global,"Briggs, Holdings",CUST-10932,"Bond, Long and Johnson India",Joint Venture,Middle East,Brian Mendez MD
"Robinson, Gamble and Palmer",Local,"Lee, Holdings",CUST-10685,"Sharp, Glover and Moore APAC",Joint Venture,LATAM,Julie Landry
"Payne, Holland and White",Local,Lambert Holdings,CUST-10259,"Lewis, Wagner and Buckley US",Parent,APAC,Madison Luna
"Williams, Anderson and Rosales",Global,Murray Holdings,CUST-10689,"Velasquez, Freeman and Mendez EMEA",Joint Venture,APAC,Jacob Klein
Hart LLC,Local,"Moore, Holdings",CUST-10245,Frey-Valentine UK,Parent,LATAM,Richard Molina
Cortez-Moore,Global,Miller-Perez Holdings,CUST-10606,Johnson PLC EU,Division,North America,Kathleen Sawyer
Padilla-Wang,Local,Allen Holdings,CUST-10914,Singleton Group UK,Parent,LATAM,William Castro
"Harris, Lewis and Chavez",Local,Kennedy-Campbell Holdings,CUST-10875,Cook-Nelson APAC,Subsidiary,APAC,Matthew Kelley
"Hamilton, Wilson and Colon",Global,"Lewis, Holdings",CUST-10374,Carter and Sons EU,Division,APAC,Carl Cannon
"Gray, Cooper and Dyer",Global,Baker-Johnson Holdings,CUST-10828,Washington-Oliver EMEA,Subsidiary,Middle East,Kimberly Solis
Rodriguez Group,Local,"Rogers, Holdings",CUST-10235,Jones-Mccall India,Subsidiary,LATAM,Susan Adams
"Thomas, Arnold and Morris",Global,"Lopez, Holdings",CUST-10168,Reyes PLC APAC,Subsidiary,APAC,Matthew Moran
Mckenzie-Schroeder,Global,Taylor-Taylor Holdings,CUST-10692,"Crane, Johnson and Williams EU",Parent,Middle East,Andrew Adams
"Carter, Turner and Wright",Local,Chang-Chen Holdings,CUST-10052,"Foster, Ingram and Joseph India",Parent,LATAM,Lori Sanders
Jacobson PLC,Global,Salinas-Wilson Holdings,CUST-10853,Dawson Ltd EMEA,Joint Venture,Europe,Tracy Chang
Smith Group,Global,Carter Holdings,CUST-10985,Shaw PLC APAC,Parent,North America,Ann Davidson
"Rogers, Figueroa and Patton",Global,Rodriguez Holdings,CUST-10182,"Calderon, Garcia and Ware EU",Division,Europe,Lance Boyd
"Thomas, Smith and Cook",Global,"Reid, Holdings",CUST-10395,Lee Ltd EMEA,Subsidiary,Europe,Jill Alvarez
Allen-Fuller,Local,"Ramirez, Holdings",CUST-10998,"Juarez, Flores and Barnes APAC",Division,APAC,Terry Morgan
"Esparza, Peterson and Campbell",Local,Calderon-Bailey Holdings,CUST-10235,Harris-Bryant EU,Parent,LATAM,Cody Miller
Chavez-Hernandez,Global,Dunlap Holdings,CUST-10992,"Henry, Hunt and Alvarado EMEA",Subsidiary,Middle East,Christopher Salinas
Harrington Ltd,Local,Cunningham Holdings,CUST-10316,Evans Ltd EU,Joint Venture,North America,Sarah Hardin
Byrd Inc,Local,Benitez Holdings,CUST-10833,"Smith, Collins and Anderson EMEA",Division,Middle East,Lisa Pittman
"Campbell, Bennett and Carrillo",Global,Smith Holdings,CUST-10456,"Harris, Newton and Ross US",Parent,LATAM,Heather Ward
"Lewis, Johnson and Gilmore",Global,"Duarte, Holdings",CUST-10890,Roman-Huynh India,Parent,LATAM,Anthony Wright
Williamson-Kelly,Global,King Holdings,CUST-10613,Adkins Group US,Joint Venture,Europe,Ellen Coleman
Pearson Inc,Local,Rodriguez-Mcdonald Holdings,CUST-10386,"Harris, Brown and Wood India",Division,Middle East,Tammy Sanchez
"Stein, Randolph and Carter",Global,Brooks-Bolton Holdings,CUST-10285,Ballard-Holland UK,Joint Venture,APAC,Calvin Johnson
Jackson-Harmon,Global,"Medina, Holdings",CUST-10537,Smith PLC UK,Subsidiary,Europe,Shelly Carson
Waters PLC,Global,King Holdings,CUST-10858,Rodriguez and Sons US,Division,Middle East,Nicholas Walker
Larsen and Sons,Global,Salas-Bennett Holdings,CUST-10378,Becker-Pena APAC,Parent,North America,Ashley Atkins
Wilkins-Moore,Global,Ware-Walker Holdings,CUST-10465,"Edwards, Mcfarland and Thomas APAC",Parent,APAC,Christopher Boyd
Whitney-Hernandez,Local,Morrison-Miller Holdings,CUST-10458,Daugherty Group US,Joint Venture,North America,Connie Robinson
Roberts-Chase,Global,Jones-Mays Holdings,CUST-10334,"Bradley, Wheeler and Gallegos EMEA",Parent,North America,Miguel Bullock
"Murphy, Thompson and Reese",Local,Miller Holdings,CUST-10435,Mckinney LLC APAC,Parent,LATAM,Karen Blair
Williams LLC,Global,"Williams, Holdings",CUST-10057,"Bowen, Beasley and Dalton APAC",Joint Venture,North America,Chad Obrien
Powell Inc,Global,"Andrews, Holdings",CUST-10306,"Wilson, Stewart and Myers India",Subsidiary,North America,Justin Hines
Moyer-Moyer,Local,"Li, Holdings",CUST-10409,"Wheeler, Davis and Lee India",Division,LATAM,Latasha Vega
"Strickland, Johnson and Castillo",Local,Perez-Campbell Holdings,CUST-10136,"Jones, Parker and Russo India",Parent,North America,Alexis Barron
"Bruce, Jensen and Carroll",Local,"Williams, Holdings",CUST-10872,Lewis-Richard APAC,Parent,Europe,Steven Lyons
Turner Inc,Local,Davis Holdings,CUST-10319,"Romero, Adams and Best EU",Subsidiary,North America,Paul Kerr
Tran PLC,Global,"Jones, Holdings",CUST-10575,"Lambert, Smith and Nguyen UK",Joint Venture,North America,Nicholas Smith
"Jones, Holloway and Chan",Global,"Manning, Holdings",CUST-10277,"Wade, Hampton and Jones UK",Subsidiary,Middle East,Nathan Mayer
Morris-Hall,Local,Brennan Holdings,CUST-10592,Johnson-Mann India,Joint Venture,LATAM,Christopher Buckley
Edwards-Stanley,Global,Jackson Holdings,CUST-10515,"Watson, Rhodes and Clark APAC",Parent,North America,Anna Davis
Waters PLC,Local,Gomez-Wallace Holdings,CUST-10314,Lane-Jones APAC,Parent,APAC,Leslie Boyd
Steele Inc,Local,"Smith, Holdings",CUST-10512,Murray-Andrews APAC,Subsidiary,APAC,Steven Stevens
"Johns, Moore and Williams",Local,"Beasley, Holdings",CUST-10485,Murphy-Wade India,Subsidiary,APAC,Mrs. Misty Levy
Sutton and Sons,Global,"Clark, Holdings",CUST-10722,Holt Ltd APAC,Division,Middle East,Cheyenne Turner
King PLC,Local,Davis-Lopez Holdings,CUST-10036,Garner PLC EMEA,Joint Venture,Middle East,Jennifer Smith
Jones-Rios,Local,"Wong, Holdings",CUST-10837,"Williams, Roberts and Burgess India",Joint Venture,LATAM,Anne Harris
Murphy LLC,Global,Griffith-Glass Holdings,CUST-10386,"Cummings, Franklin and Le UK",Joint Venture,Europe,Nicole Jones
Waters PLC,Local,Castillo Holdings,CUST-10145,Mitchell Group EU,Subsidiary,North America,Amy Alvarez
Johnson and Sons,Local,"Richardson, Holdings",CUST-10016,Evans-Morris UK,Joint Venture,North America,Sarah Murphy
"Johns, Moore and Williams",Local,Baker Holdings,CUST-10791,Pruitt-Miller EU,Joint Venture,APAC,David Cherry
"Jackson, Johns and Duarte",Local,Delacruz Holdings,CUST-10271,Roberts-Becker India,Parent,APAC,Edwin Mccarty
"Pena, Carter and Moore",Local,"Thomas, Holdings",CUST-10888,Fritz-Novak EMEA,Subsidiary,Middle East,Jonathan King
Rush LLC,Global,White-Palmer Holdings,CUST-10768,Finley Ltd US,Parent,Middle East,Brittany Davis
Ellison-Coleman,Global,Cook Holdings,CUST-10619,Ingram PLC APAC,Parent,North America,Mark Fletcher
Mendoza-Singleton,Local,Santiago-Dominguez Holdings,CUST-10916,Ross Inc US,Division,Europe,Bruce Yoder
Taylor PLC,Global,"Boyd, Holdings",CUST-10836,Weiss-Cooley EMEA,Division,Europe,Jennifer Beck
Ross LLC,Global,"Cortez, Holdings",CUST-10972,"Rice, Fox and Allen APAC",Subsidiary,LATAM,John Roth
"Vargas, Smith and Walker",Local,Jackson-Fowler Holdings,CUST-10138,Robinson and Sons APAC,Joint Venture,LATAM,Christopher Price
Williams PLC,Local,Mcdaniel Holdings,CUST-10367,Alvarez Inc EMEA,Subsidiary,LATAM,Rachel Fowler
Moore LLC,Global,Ware-Walker Holdings,CUST-10609,Brooks PLC India,Parent,Middle East,Robert Barr
"Jackson, Rosales and Hernandez",Local,Smith Holdings,CUST-10998,Collins-Walters EMEA,Parent,LATAM,Spencer Bryant
Kemp Inc,Global,"Jackson, Holdings",CUST-10748,"Sexton, Peters and Greene US",Division,North America,Paul Martin
"Simpson, Elliott and Wolfe",Local,"Cain, Holdings",CUST-10019,Stevens Group India,Parent,Europe,Jake Chaney
Booth-Morris,Local,Evans Holdings,CUST-10116,"Jordan, Jackson and Hansen US",Subsidiary,APAC,Albert Farmer
"Wright, Russell and Miller",Local,Green Holdings,CUST-10968,Lopez-Fields UK,Joint Venture,North America,Crystal Price
Brown-Carroll,Local,"Fisher, Holdings",CUST-10637,Cannon-Rodriguez EMEA,Subsidiary,LATAM,Cory Moss
Rose Inc,Local,"Spencer, Holdings",CUST-10993,Rich-Flores EMEA,Joint Venture,North America,Andrea Rowe
Shaw Inc,Local,Short Holdings,CUST-10650,Cole Group US,Parent,LATAM,Chad Byrd
Robinson PLC,Global,"Turner, Holdings",CUST-10639,"Carter, Jacobson and Blair EU",Subsidiary,APAC,Casey Holmes
Cox-Taylor,Local,Brown-Mora Holdings,CUST-10410,Grimes-Martinez EMEA,Division,North America,Taylor Perkins
Rodriguez-Stewart,Local,"Jimenez, Holdings",CUST-10027,Randolph-Frazier UK,Subsidiary,APAC,Stephanie Whitehead
Griffin-Neal,Global,Morris-Murphy Holdings,CUST-10396,Lopez-Harmon UK,Division,Europe,Joel Abbott
Kennedy-Delgado,Global,Kelly Holdings,CUST-10327,Logan-Cisneros UK,Joint Venture,Europe,Nicholas Bass
Gross Ltd,Local,Smith Holdings,CUST-10823,"Johnson, Rice and Davidson India",Division,APAC,Rachel Page
Brown LLC,Local,"Fisher, Holdings",CUST-10091,Brandt PLC EU,Subsidiary,Middle East,Dustin Sandoval
"Miller, Whitaker and Joseph",Local,Brooks-Bolton Holdings,CUST-10610,"Olson, Moore and Ball EU",Division,Europe,Lawrence Roberts
"Sexton, Banks and Diaz",Local,Adkins-Frazier Holdings,CUST-10046,Atkinson-Martinez US,Joint Venture,LATAM,Nicholas Scott
Davis-Tucker,Global,Padilla-Wang Holdings,CUST-10090,"Rogers, Patterson and Medina India",Parent,Middle East,Eric Patton
"Rodriguez, Hill and Hopkins",Local,"Carroll, Holdings",CUST-10912,"Garcia, Ramos and Lucas EMEA",Subsidiary,LATAM,Jason Ward
Taylor PLC,Local,"Kelly, Holdings",CUST-10529,Hardy-Barber US,Subsidiary,Middle East,Ricky Hamilton
"Jackson, Rosales and Hernandez",Local,"Rios, Holdings",CUST-10507,Snyder-Lawrence EU,Subsidiary,Europe,Benjamin Gutierrez
